abolish eltöröl
bias Elfogultság
bid ajánlattétel
bind kötődik
biography életrajz
biological biológiai
bishop püspök
bizarre bizarr
blade penge
blanket takaró
blast robbanás
bleed vérzik
blend keverék
bless áldja
blessing áldás
blow fúj
boast dicsekszik
bold bátor
bombing bombázás
bonus bónusz
booking foglalás
boom bumm
boost lendület
bounce ugrál
bound összekötött
boundary határ
bow1 íj1
breach megszeg
breakdown bontás
breakthrough áttörés
breed fajta
brick tégla
briefly röviden
broadband szélessávú
broadcaster műsorszolgáltató
broadly széles körben
browser böngésző
brutal brutális
buck bak
buddy haver
buffer puffer
bug bogár
bulk tömeg
burden teher
bureaucracy bürokrácia
burial temetés
burst robbanás
cabin kabin
cabinet szekrény
calculation számítás
canal csatorna
candle gyertya
canvas vászon
capability képesség
capitalism kapitalizmus
capitalist kapitalista
carbon szén
cargo szállítmány
carriage szállítás
carve farag
casino kaszinó
castle kastély
casual alkalmi
casualty sérülés
catalog katalógus
cater ellát
cattle marha
caution Vigyázat
cautious óvatos
cave barlang
cease megszűnik
cemetery temető
certainty bizonyosság
certificate bizonyítvány
challenging kihívást jelentő
chamber kamra
championship bajnokság
chaos káosz
characterize jellemez
charm báj
charming bájos
charter bérbeadás
chase üldözés
cheek arca
cheer éljenzés
choir kórus
chop szelet
chronic krónikus
chunk darab
circuit áramkör
circulate kering
circulation keringés
citizenship polgárság
civic polgári
civilian polgári
civilization civilizáció
clarify tisztáz
clarity világosság
clash összecsapás
classification osztályozás
classify osztályoz
cliff szikla
cling ragaszkodik
clinic klinika
clinical klinikai
clip csipesz
closure bezárás
cluster fürt
coalition koalíció
coastal parti
cocktail koktél
cognitive kognitív
coincide egybeesik
coincidence véletlen egybeesés
collaborate együttműködik
collaboration együttműködés
collective kollektív
collector gyűjtő
collision ütközés
colonial gyarmati
colony kolónia
colorful színes
columnist rovatvezető
combat harc
comic komikus
commander parancsnok
commence kezdődik
commentary kommentár
commentator kommentátor
commerce kereskedelem
commissioner biztos
commodity árucikk
communist kommunista
companion társ
comparable hasonló
comparative összehasonlító
compassion együttérzés
compel kényszerít
compelling kényszerítő
compensate kompenzál
compensation kártérítés
competence kompetencia
competent illetékes
compile összeállít
complement kiegészítés
completion befejezés
complexity bonyolultság
compliance megfelelés
complication bonyodalom
comply megfelel
compose összeállít
composer Zeneszerző
composition fogalmazás
compound összetett
comprehensive átfogó
comprise tartalmaz
compromise kompromisszum
compulsory kötelező
compute kiszámít
conceal rejt
concede elismer
conceive kifogásol
conception elgondolás
concession engedmény
concrete Konkrét
condemn elítél
confer adományoz
confess bevallani
confession gyónás
configuration konfiguráció
confine korlátoz
confirmation megerősítés
confront szembeszáll
confrontation szembesítés
confusion zavar
congratulate gratulál
congregation gyülekezet
congressional kongresszusi
conquer meghódító
conscience lelkiismeret
consciousness öntudat
consecutive egymást követő
consensus konszenzus
consent beleegyezés
consequently következésképpen
conservation Megőrzés
conserve megtérít
considerable figyelemre méltó
considerably jelentősen
consistency következetesség
consistently következetesen
consolidate konszolidál
conspiracy összeesküvés
constitute alkotják
constitution alkotmány
constitutional alkotmányos
constraint kényszer
consult konzultál
consultant szaktanácsadó
consultation konzultáció
consumption fogyasztás
contemplate elgondolkodtat
contempt megvetés
contend vitorlás
contender versenyző
content2 tartalom2
contention állítás
continually folyamatosan
contractor vállalkozó
contradiction ellentmondás
contrary ellentétes
contributor hozzájáruló
controversial vitatott
controversy vita
convenience kényelem
convention egyezmény
conventional hagyományos
conversion átalakítás
convey közvetít
convict elítélt
conviction meggyőződés
convincing meggyőző
cooperate együttműködik
cooperative szövetkezet
coordinate koordináta
coordination koordináció
coordinator koordinátor
cop zsaru
cope megbirkózik
copper réz
copyright szerzői jog
corporation vállalat
correction javítás
correlate összefüggés
correlation korreláció
correspond megfelel
correspondence levelezés
correspondent levelező
corresponding megfelelő
corridor folyosó
corrupt korrupt
corruption korrupció
costly drága
councilor tanácsos
counseling tanácsadás
counselor tanácsadó
counter számláló
counter számláló
counterpart társ
countless számtalan
coup puccs
courtesy udvariasság
coverage lefedettség
cowboy cowboy
crack rés
craft hajó
crawl mászás
creativity kreativitás
creator Teremtő
credibility hitelesség
credible hihető
creep kúszás
critically kritikusan
critique kritika
crown korona
crude nyers
cruise hajókázás
crush összetör
crystal kristály
cue dákó
cult kultusz
cultivate ápol
curiosity kíváncsiság
curious kíváncsi
curriculum tanterv
custody őrizet
cute aranyos
cutting vágás
cynical cinikus
dairy tejtermék
dam gát
damaging károsító
dare merészel
darkness sötétség
database adatbázis
dawn hajnal
deadline határidő
deadly halálos
dealer kereskedő
debris törmelék
debut bemutatkozás
decision-making Döntéshozatal
decisive döntő
deck fedélzet
declaration nyilatkozat
dedicated dedikált
dedication elhivatottság
deed tett
deem úgy vél
default mulasztás
defect disszidál
defender védő
defensive védekező
deficiency hiány
deficit hiány
defy dacol
delegate delegált
delegation delegáció
delete töröl
delicate törékeny
delighted örömteli
democracy demokrácia
democratic demokratikus
demon démon
demonstration demonstráció
denial tagadás
denounce elítél
dense sűrű
density sűrűség
depart indul
dependence függőség
dependent függő
depict ábrázol
deploy kihelyez
deployment beépítés
deposit letét
depression depresszió
deprive megfoszt
deputy helyettes
derive származik
descend leszáll
descent Származás
designate kijelöl
desirable kívánatos
desktop asztali számítógép
desperately kétségbeesetten
destruction megsemmisítés
destructive pusztító
detain visszatart
detection érzékelés
detention fogva tartás
deteriorate romlik
determination meghatározás
devastate elpusztít
devil ördög
devise kidolgoz
devote fordít
diagnose diagnosztizál
diagnosis diagnózis
dictate diktál
dictator diktátor
differ különbözik
differentiate megkülönböztet
dignity méltóság
dilemma dilemma
dime tízcentes
dimension dimenzió
diminish csökkent
dip BEMÁRT
diplomat diplomata
diplomatic diplomáciai
directory Könyvtár
disability fogyatékosság
disabled Tiltva
disagreement nézeteltérés
disappoint csalódást okoz
disappointment csalódás
disastrous katasztrofális
discard eldob
discharge kisülés
disclose közzétesz
disclosure közzététel
discourage elriaszt
discourse társalgás
discretion belátása
discrimination megkülönböztetés
dismissal elbocsátás
disorder rendellenesség
displace elmozdít
disposal ártalmatlanítás
dispose eldob
dispute vita
disrupt megszakít
disruption megszakítás
dissolve feloldódik
distant távoli
distinct különböző
distinction megkülönböztetés
distinctive megkülönböztető
distinguish megkülönböztet
distort torzít
distract elvon
distress szorongás
disturb zavar
disturbing zavaró
dive merül
diverse különböző
diversity sokféleség
divert elterel
divine isteni
divorce válás
doctrine tantétel
documentation dokumentáció
domain tartomány
dominance dominancia
dominant uralkodó
donation adomány
donor donor
dose dózis
dot pont
drain csatorna
dramatically drámaian
drift sodródás
driving vezetés
drought aszály
drown megfullad
dual dupla
dub dub
dull unalmas
dumb néma
dump lerak
duo duó
duration időtartam
dynamic dinamikus
eager mohó
earnings kereset
ease könnyed
echo visszhang
ecological ökológiai
economics közgazdaságtan
economist közgazdász
editorial szerkesztőségi
educator pedagógus
effectiveness hatékonyság
efficiency hatékonyság
efficiently hatékonyan
ego vége
elaborate bonyolult
elbow könyök
electoral választói
electronics elektronika
elegant elegáns
elementary alapvető
elevate felemel
eligible választható
eliminate kiküszöböl
elite elit
embark belép
embarrassment zavar
embassy nagykövetség
embed beágyaz
embody megtestesít
embrace ölelés
emergence megjelenés
emission kibocsátás
emotionally érzelmileg
empire Birodalom
empirical empirikus
empower felhatalmaz
enact bevezet
encompass körülölel
encouragement bátorítás
encouraging bátorító
endeavor törekvés
endless végtelen
endorse jóváhagy
endorsement jóváhagyás
endure elvisel
enforce érvényesít
enforcement végrehajtás
engagement elkötelezettség
engaging megnyerő
enjoyable élvezetes
enrich gazdagít
enroll beiratkozik
ensue következik
enterprise vállalkozás
entertaining szórakoztató
enthusiast rajongó
entitle feljogosít
entity entitás
entrepreneur vállalkozó
envelope boríték
epidemic járvány
equality egyenlőség
equation egyenlet
equip felszerel
equivalent egyenértékű
era korszak
erect egyenesen
erupt kinő
escalate eszkalálódik
essence lényeg
essentially lényegében
establishment létesítmény
eternal örök
ethic etikai
ethnic etnikai
evacuate kiürít
evaluation értékelés
evident nyilvánvaló
evoke kivált
evolution evolúció
evolutionary evolúciós
evolve fejlődik
exaggerate túloz
exceed meghaladja
excellence kiválóság
exception kivétel
exceptional kivételes
excess túlzott mértékű
excessive túlzott
exclude kizár
exclusion kirekesztés
exclusive kizárólagos
exclusively kizárólagosan
execute végrehajt
execution végrehajtás
exert gyakorol
exile száműzetés
exotic egzotikus
expansion terjeszkedés
expedition expedíció
expenditure kiadás
experimental kísérleti
expertise szakvélemény
expire lejár
explicit kifejezett
explicitly kifejezetten
exploit kizsákmányol
exploitation kizsákmányolás
explosive robbanó
exposure kitettség
extension kiterjesztés
extensive kiterjedt
extensively alaposan
extract kivonat
extremist szélsőséges
fabric szövet
fabulous mesés
facilitate megkönnyít
faction eldöntés
faculty oktatók
fade áttűnés
failed nem sikerült
fairness méltányosság
fake hamisítvány
fame hírnév
fantasy fantázia
fare viteldíj
fatal halálos
fate sors
favorable kedvező
feat feor
felony bűntett
feminist feminista
fiber rost
fierce vad
filmmaker filmkészítő
filter szűrő
fine bírság
firearm lőfegyver
firefighter tűzoltó
firework tüzijáték
firm cég
firmly határozottan
fiscal fiskális
fit elfér
flavor aroma
flaw hibás hibás
flawed hibás
flee elmenekülni
fleet flotta
flesh hús
flexibility rugalmasság
flourish virágzik
fluid folyadék
fond kedvel
fool bolond
footage felvétel
forbid tilt
forecast előrejelzés
foreigner külföldi
forge kohó
format formátum
formation képződés
formerly korábban
formula képlet
formulate megfogalmaz
forth tovább
forthcoming közelgő
fortunate szerencsés
forum fórum
fossil kövület
foster elősegíti
foundation Alapítvány
founder alapító
fraction töredék
fragile törékeny
fragment töredék
framework keretrendszer
franchise franchise
frankly őszintén szólva
fraud csalás
freely szabadon
frequent gyakori
freshman újonc
frustrated frusztrált
frustrating frusztráló
frustration csalódottság
fulfill teljesít
full-time teljes idő
functional funkcionális
fundamentally alapvetően
fundraising adománygyűjtés
funeral temetés
furious dühös
gallon gallon
gambling szerencsejáték
gaming szerencsejáték
gathering összejövetel
gay meleg
gaze bámulás
gear felszerelés
gender nemek
gene gén
generic generikus
genetic genetikai
genius zseni
genocide fajirtás
genuine őszinte
genuinely őszintén
gesture gesztus
gig koncert
glance pillantás
glimpse bepillantás
globalization globalizáció
globe földgolyó
glorious dicső
glory dicsőség
golden aranysárga
goodness jóság
gorgeous gyönyörű
governance kormányzás
grace kegyelem
graphic grafikus
graphics grafika
grasp megfogás
grave sír
grave sír
gravity gravitáció
greatly nagymértékben
greenhouse üvegház
grid rács
grief bánat
grin vigyorog
grind darál
grip markolat
gross bruttó
guerrilla gerilla
guidance tanácsadás
guideline irányelv
guilt bűnösség
gut belek
habitat élőhely
hail jégeső
halfway félúton
halt Állj
handful maréknyi
handling kezelése
handy ügyes
harassment zaklatás
harbor kikötő
hardware hardver
harmony harmónia
harsh durva
harvest aratás
hatred gyűlölet
haunt tanya
hazard veszély
headquarters központ
heal gyógyít
healthcare egészségügyi ellátás
heighten fokoz
helmet sisak
hence ennélfogva
herb növény
heritage örökség
hidden rejtett
hierarchy hierarchia
high-profile nagy horderejű
hilarious vicces
hint célzás
hip csípő
historian történész
homeland Szülőföld
homeless hajléktalan
honesty őszinteség
honey édesem
hook horog
hopeful bizakodó
hopefully remélhetőleg
horizon horizont
horn kürt
hostage túsz
hostile ellenséges
hostility ellenségeskedés
humanitarian humanitárius
humanity emberiség
humble alázatos
hunger éhség
hydrogen hidrogén
hypothesis hipotézis
icon ikon
ID Személyazonosság
identical azonos
identification azonosítás
ideological ideológiai
ideology ideológia
idiot idióta
ignorance tudatlanság
illusion illúzió
imagery képek
immense óriási
immigration bevándorlás
imminent fenyegető
immune mentes
implement megvalósít
implementation végrehajtás
implication következmény
imprison bebörtönzés
inability képtelenség
inadequate nem megfelelő
inappropriate alkalmatlan
incarcerate bezár
incarceration bebörtönzés
incentive ösztönző
incidence előfordulása
inclined hajlamos
inclusion befogadás
incorporate beépít
incorrect helytelen
incur felmerül
independence függetlenség
index index
indication jelzés
indicator indikátor
indictment vádirat
indigenous bennszülött
induce indukál
indulge elkényeztet
inequality egyenlőtlenség
inevitable elkerülhetetlen
inevitably elkerülhetetlenül
infamous hírhedt
infant csecsemő
infect megfertőz
infer következtet
inflation infláció
inflict okoz
influential befolyásos
info információ
infrastructure infrastruktúra
inhabitant lakos
inherent velejáró
inherit örököl
inhibit gátol
initiate beavatott
inject befecskendez
injection injekció
injustice igazságtalanság
ink tinta
inmate fogvatartott
innovation innováció
innovative újító
input bemenet
inquire érdeklődik
insert beilleszt
insertion beillesztés
insider bennfentes
inspect megvizsgál
inspection ellenőrzés
inspector ellenőr
inspiration ihlet
installation telepítés
instant azonnali
instantly azonnal
instinct ösztön
institutional intézményi
instruct tanít
instrumental hangszeres
insufficient elégtelen
insult sértés
intact ép
intake bevitel
integral integrál
integrate egyesít
integrated integrált
integration integráció
integrity sértetlenség
intellectual szellemi
intensify erősít
intensity intenzitás
intensive intenzív
intent elszánt
interact egymásra hat
interaction kölcsönhatás
interactive interaktív
interface felület
interfere beavatkozik
interference interferencia
interim ideiglenes
interior belső
intermediate közbülső
interpretation értelmezés
intersection útkereszteződés
interval intervallum
intervene beavatkozik
intervention közbelépés
intimate meghitt
intriguing érdekes
invade behatol
invasion invázió
inventory leltár
investigator nyomozó
investor befektető
invisible láthatatlan
invoke meghív
involvement részvétel
ironic ironikus
ironically ironikusan
irony irónia
irrelevant irreleváns
isolate elkülönít
isolated izolált
isolation elkülönítés
jail börtön
jet vadászgép
joint közös
journalism újságírás
judicial bírósági
jurisdiction joghatóság
jury zsűri
just éppen
justification indokolás
keen lelkes
kidnap elrabol
kidney vese
kindergarten óvoda
kingdom királyság
kit készlet
ladder létra
landing leszállás
landlord bérbeadó
landmark tájékozódási pont
lane sáv
lap ölelés
large-scale nagyarányú
laser lézer
lately utóbbi időben
latter utóbbi
lawmaker törvényhozó
lawn gyep
lawsuit per
layout elrendezés
leak szivárog
leap Ugrás
legacy örökség
legend legenda
legendary legendás
legislation törvényhozás
legislative törvényhozó
legislature törvényhozás
legitimate jogos
lengthy hosszadalmas
lens lencse
lesbian leszbikus
lesser kevesebb
lethal halálos
liable felelős
liberal liberális
liberation felszabadulás
liberty szabadság
lifelong egész életen át tartó
lifetime élettartam
lighting világítás
likelihood valószínűség
likewise hasonlóképpen
limb végtag
limitation korlátozás
linear lineáris
lineup Felsorakozni
linger habozik
listing tőzsdei jegyzés
liter liter
literacy műveltség
literally szó szerint
literary irodalmi
litter szemét
liver máj
lobby előcsarnok
log fatörzs
logic logika
logo logó
long-standing régóta fennálló
longtime hosszú idő
loom szövőszék
loop hurok
lottery lottó
loyal hűséges
loyalty hűség
lyric lírai
machinery gépezet
magical mágikus
magnetic mágneses
magnificent Káprázatos
magnitude nagyságrend
mainland szárazföld
mainstream fő
maintenance karbantartás
makeup smink
making készítés
mandate megbízás
mandatory kötelező
manifest nyilvánvaló
manipulate manipulál
manipulation manipuláció
manufacture gyártás
manufacturing gyártás
manuscript kézirat
marathon maraton
march március
margin árrés
marginal marginális
marine tengeri
marker jelző
marketplace piactér
martial harcias
mask maszk
massacre mészárlás
mate társ
mathematical matematikai
mature érett
maximize maximalizál
meaningful jelentőségteljes
meantime közben
mechanic szerelő
mechanical mechanikai
mechanism gépezet
medal érem
medication gyógyszer
medieval középkori
meditation elmélkedés
melody dallam
membership tagság
memo Memo
memoir emlékirat
memorable emlékezetes
memorial emlékmű
mentor beavató
merchant kereskedő
mercy kegyelem
mere puszta
merely csupán
merge összeolvad
merger egyesülés
merit érdem
metaphor metafora
methodology módszertan
midst közepén
migration vándorlás
militant harcos
militia milícia
mill malom
miner bányász
minimal minimális
minimize minimalizál
mining bányászati
ministry minisztérium
minute2 2. perc
miracle csoda
miserable nyomorult
misery szenvedés
misleading félrevezető
missile rakéta
mob csőcselék
mobile mobil
mobility mobilitás
mobilize mozgósít
mode mód
moderate mérsékelt
modest szerény
modification módosítás
module modul
momentum lendület
monk szerzetes
monopoly monopólium
monster szörnyeteg
monthly havi
monument emlékmű
morality erkölcs
moreover ráadásul
mortgage jelzálog
mosque mecset
mosquito szúnyog
motion mozgás
motivate motivál
motivation motiváció
motive indíték
moving mozgó
municipal városi
mutual kölcsönös
myth mítosz
naked meztelen
namely ugyanis
nasty csúnya
nationwide országos
naval haditengerészeti
navigation navigáció
nearby Közeli
necessity szükségesség
neglect elhanyagolás
negotiate tárgyal
negotiation tárgyalás
neighboring szomszédos
nest fészek
net háló
neutral semleges
newly újonnan
newsletter hírlevél
niche fülke
nickel nikkel
noble nemes
nod bólint
nominate jelöl
nomination jelölés
nominee jelölt
nonetheless ennek ellenére
nonprofit nonprofit szervezet
nonsense ostobaság
noon dél
norm norma
notable jelentős
notably nevezetesen
notebook jegyzetfüzet
notify értesít
notorious hirhedt
novel regény
novelist regényíró
nowadays Manapság
nursery óvoda
nursing gondozás
nutrition táplálás
obesity elhízottság
objection ellenvetés
oblige kötelez
observer megfigyelő
obsess gyötör
obsession megszállottság, rögeszme
obstacle akadály
occasional alkalmi
occupation Foglalkozása
occupy elfoglal
occurrence esemény
odds esély
offender szabálysértő
offering ajánlat
offspring utódok
ongoing folyamatban lévő
openly nyíltan
opera opera
operational működőképes
operator operátor
opt dönt
optical optikai
optimism optimizmus
optimistic optimista
oral orális
orchestra zenekar
organic organikus
organizational szervezeti
orientation irányultság
originate származik
outbreak kitörés
outfit felszerelés
outing kirándulás
outlet kimenő kimenő
outlook kilátások
output Kimenet
outrage merénylet
outsider kívülálló
outstanding kiemelkedő
overcome legyőz
overlook átnéz
overly túlságosan
overnight éjszakai
oversee felügyel
overturn felborít
overwhelm elborít
overwhelming túlnyomó
ownership tulajdonjog
oxygen oxigén
packet csomag
pad párna
palm tenyér
panic pánik
parade felvonulás
parallel párhuzamos
parameter paraméter
parental szülői
parliament parlament
partial részleges
partially részben
participation részvétel
partnership partnerség
part-time részidő
passing elhaladó
passionate szenvedélyes
passive passzív
password Jelszó
pastor lelkész
patch tapasz
patent szabadalom
pathway út
patience türelem
patrol járőr
patron védőszentje
pause szünet
peak csúcs
peasant paraszt
peculiar különös
peer társas
penalty büntetés
pension1 nyugdíj1
perceive érzékel
perception észlelés
permanently tartósan
persist kitart
persistent kitartó
personnel személyzet
petition petíció
pharmacy gyógyszertár
philosopher filozófus
philosophical filozófiai
physician orvos
pill tabletta
pioneer úttörő
pipeline csővezeték
pirate kalóz
pit gödör
pity kár
placement elhelyezés
plea kifogás
plead benyújt
pledge fogadalom
plug dugó
plunge belemerül
pole pólus
poll közvélemény kutatás
pond tavacska
pop pop
portfolio portfólió
portion adag
portray ábrázol
postpone elhalaszt
postwar háború utáni
potentially potenciálisan
practitioner gyakorló
preach prédikál
precede megelőz
precedent precedens
precious értékes
precise pontos
precisely pontosan
precision pontosság
predator ragadozó
predecessor előző
predictable kiszámítható
predominantly túlnyomórészt
preference kedveltség
pregnancy terhesség
prejudice előítélet
preliminary előzetes
premier miniszterelnök
premise előfeltétel
premium prémium
prescribe előír
prescription recept
presently jelenleg
preservation megőrzés
preside elnököl
presidency elnökség
presidential elnöki
prestigious tekintélyes
presumably feltehetőleg
presume feltételez
prevail érvényesül
prevalence prevalencia
prevention megelőzés
prey áldozat
pride büszkeség
primarily elsősorban
principal fő
prior előzetes
privatization privatizáció
privilege kiváltság
probability valószínűség
probable valószínű
probe szonda
problematic problematikus
proceed folytassa
proceeding eljárás
proceeds bevétel
processing feldolgozás
processor processzor
proclaim kihirdet
productive termelő
productivity termelékenység
profitable jövedelmező
profound mély
programming programozás
progressive haladó
prohibit megtilt
projection kivetítés
prominent kiemelkedő
promising biztató
promotion promóció
prompt gyors
pronounced kiejtett
propaganda propaganda
proportion arány
proposition javaslat
prosecute ügyet indít
prosecution vád
prosecutor ügyész
prospective leendő
prosperity jólét
protective védő
protein fehérje
protester tiltakozó
protocol jegyzőkönyv
province tartomány
provincial vidéki
provision gondozás
provoke provokál
psychiatric pszichiátriai
psychological pszichológiai
publicity nyilvánosság
publishing kiadás
pulse impulzus
pump szivattyú
punch puncs
punk punk
purely tisztán
pursuit törekvés
puzzle kirakós játék
query lekérdezés
quest törekvés
questionnaire kérdőív
quota kvóta
racial faji
racism rasszizmus
racist rasszista
radar radar
radiation sugárzás
radical radikális
rage düh
raid rajtaütés
rail vasút
rally összegyűjt
random véletlen
ranking rangsorolás
rape erőszak
rat patkány
rating értékelés
ratio hányados
rational racionális
ray sugár
readily könnyedén
realization megvalósítás
realm birodalom
rear hátulsó
reasonably ésszerűen
reasoning érvelés
reassure megnyugtat
rebel lázadó
rebellion lázadó
rebuild újjáépít
receiver vevő
recession recesszió
recipient befogadó
reckon számol
recognition elismerés
reconstruction újjáépítés
recount1 RECOUNT1
recovery felépülés
recruit újonc
recruitment toborzás
referee játékvezető
referendum népszavazás
reflection visszaverődés
reform reform
refuge menedék
refugee menekült
refusal elutasítás
regain visszanyer
regardless tekintet nélkül
regime rezsim
registration bejegyzés
regulate szabályoz
regulator szabályozó
regulatory szabályozó
rehabilitation rehabilitáció
reign uralkodik
reinforce megerősít
rejection elutasítás
relevance jelentőség
reliability megbízhatóság
relieve enyhít
relieved megkönnyebbült
reluctant vonakodó
remainder maradék
remains maradványok
remarkable figyelemre méltó
remarkably feltűnően
remedy jogorvoslat
reminder emlékeztető
removal eltávolítás
render Vakol
renew megújít
renowned híres
rental bérleti díj
replacement csere
reportedly állítólag
reporting jelentés
representation reprezentáció
reproduce reprodukál
reproduction reprodukció
republic köztársaság
resemble hasonlít
reside lakik
residence rezidencia
residential lakó
residue maradvány
resign lemond
resignation lemondás
resistance ellenállás
resolution felbontás
respective illető
respectively illetőleg
restoration felújítás
restore visszaállítás
restraint korlátozás
restrict korlátoz
restriction korlátozás
resume önéletrajz
résumé önéletrajz
retail kiskereskedelem
retirement nyugdíjazás
retreat visszavonulás
retrieve visszahoz
revelation kinyilatkoztatás
revenge bosszú
revenue bevétel
reverse fordított
revision felülvizsgálat
revival újjáéledés
revive feléleszt
revolutionary forradalmi
rhetoric retorika
ridiculous nevetséges
rifle puska
riot lázadás
rip Nyugodj békében
risky kockázatos
ritual szertartás
rival vetélytárs
rob rabol
robbery rablás
robust erős
rock szikla
rocket rakéta
rod rúd
romance románc
rookie újonc
rose rózsa
roster névjegyzék
rotate forog
rotation forgás
roughly nagyjából
ruin ROM
ruling uralkodó
rumor szóbeszéd
sacred szent
sacrifice áldozat
saint szent
sake kedvéért
sanction szankció
satisfaction elégedettség
say mond
scandal botrány
scare megijeszt
scattered elszórt
scenario forgatókönyv
scholar tudós
scholarship ösztöndíj
scope hatókör
scratch karcolás
screening vetítés
screw csavar
scrutiny vizsgálat
seal fóka
secondly másodszor
secular világi
seeker kereső
seemingly látszólag
segment szegmens
seize megragad
seldom ritkán
selective szelektív
seminar szeminárium
sensation szenzáció
sensitivity érzékenység
sentiment érzés
separation elválasztás
serial sorozatszám
settlement település
settler telepes
setup beállít
severely szigorúan
sexuality nemiség
sexy szexis
shaped alakú
shareholder részvényes
shatter összetör
shed fészer
sheer tiszta
shipping szállítás
shocking megdöbbentő
shoot lő
shore part
shortage hiány
shortly hamarosan
short-term rövid időszak
shrink összezsugorodik
shrug vállvonás
sibling testvér
sidewalk járda
sigh sóhaj
signature aláírás
significance jelentőség
simulate szimulál
simulation szimuláció
simultaneously egyidejűleg
sin bűn
situated elhelyezett
skeptical szkeptikus
sketch vázlat
skilled szakképzett
skip kihagyás
skull koponya
slam becsap
slap pofon
slash vágás
slavery rabszolgaság
slogan szlogen
slot rés
smash összetör
snap bepattan
soak áztatás
soar felszáll
so-called úgynevezett
socialist szocialista
sole egyetlen
solely kizárólag
solidarity szolidaritás
solo szóló
somehow valahogy
sometime majd valamikor
sophisticated kifinomult
sophomore másodéves
sound hang
sovereignty szuverenitás
spam levélszemét
span tartósság
spare tartalék
spark szikra
specialize specializál
specialized specializált
specification leírás
specify meghatároz
specimen mintadarab
spectacle látvány
spectacular látványos
spectator néző
spectrum spektrum
speculate spekulál
speculation spekuláció
spell varázslat
sphere gömb
spice fűszer
spill bukás
spin centrifugálás
spine gerinc
spite törés
spoil zsákmány
spokesman szóvivő
spokesperson szóvivő
spokeswoman szóvivő
sponsorship szponzorálás
spotlight reflektorfény
spouse házastárs
spy kém
squad osztag
squeeze présel
stab szúrás
stability stabilitás
stabilize stabilizál
stake tét
stall istálló
stance állás
standing álló
stark erős
starve éhezik
statistical statisztikai
steadily fokozatosan
steam gőz
steer tinó
stem származik
stereotype sztereotípia
stimulate ösztönöz
stimulus inger
stir keverés
storage tárolás
straightforward egyértelmű
strain feszültség
strand part
strategic stratégiai
strengthen megerősít
